timestamp,station_name,input_count,output_count,line_number,crowed_time_rate,is_crowed_station,is_weekend,is_holiday
2024-01-01 06:00:00,Tajrish,42,0,Line1,0.8,True,0,0
2024-01-01 06:06:00,Shariati,4,7,Line1,0.8,False,0,0
2024-01-01 06:12:00,Beheshti,10,26,Line1,0.8,False,0,0
2024-01-01 06:18:00,Dowlat,12,14,Line1,0.8,True,0,0
2024-01-01 06:24:00,Mohamadieh,10,15,Line1,0.8,True,0,0
2024-01-01 06:30:00,Kahrizak,0,16,Line1,0.8,False,0,0
2024-01-01 06:00:00,Sanat,27,0,Line2,0.8,False,0,0
2024-01-01 06:06:00,Valiasr,16,19,Line2,0.8,True,0,0
2024-01-01 06:12:00,Theather,8,14,Line2,0.8,True,0,0
2024-01-01 06:18:00,Mohamadieh,8,15,Line2,0.8,True,0,0
2024-01-01 06:24:00,Heravi,7,11,Line2,0.8,False,0,0
2024-01-01 06:30:00,Basij,0,7,Line2,0.8,False,0,0
2024-01-01 06:00:00,Sattari,36,0,Line3,0.8,False,0,0
2024-01-01 06:06:00,Valiasr,10,20,Line3,0.8,True,0,0
2024-01-01 06:12:00,Jahad,5,13,Line3,0.8,False,0,0
2024-01-01 06:18:00,Beheshti,6,9,Line3,0.8,False,0,0
2024-01-01 06:24:00,Heravi,13,11,Line3,0.8,False,0,0
2024-01-01 06:30:00,Ghaem,0,17,Line3,0.8,False,0,0
2024-01-01 06:00:00,Azadi,33,0,Line4,0.8,False,0,0
2024-01-01 06:06:00,Theather,12,22,Line4,0.8,True,0,0
2024-01-01 06:12:00,ferdowsi,16,7,Line4,0.8,False,0,0
2024-01-01 06:18:00,Dowlat,19,19,Line4,0.8,True,0,0
2024-01-01 06:24:00,Shemiran,10,10,Line4,0.8,False,0,0
2024-01-01 06:30:00,Booali,0,32,Line4,0.8,False,0,0
2024-01-01 06:06:00,Tajrish,33,0,Line1,0.8,True,0,0
2024-01-01 06:12:00,Shariati,14,8,Line1,0.8,False,0,0
2024-01-01 06:18:00,Beheshti,15,15,Line1,0.8,False,0,0
2024-01-01 06:24:00,Dowlat,12,21,Line1,0.8,True,0,0
2024-01-01 06:30:00,Mohamadieh,8,19,Line1,0.8,True,0,0
2024-01-01 06:36:00,Kahrizak,0,19,Line1,0.8,False,0,0
2024-01-01 06:06:00,Sanat,44,0,Line2,0.8,False,0,0
2024-01-01 06:12:00,Valiasr,8,14,Line2,0.8,True,0,0
2024-01-01 06:18:00,Theather,19,12,Line2,0.8,True,0,0
2024-01-01 06:24:00,Mohamadieh,8,17,Line2,0.8,True,0,0
2024-01-01 06:30:00,Heravi,12,11,Line2,0.8,False,0,0
2024-01-01 06:36:00,Basij,0,37,Line2,0.8,False,0,0
2024-01-01 06:06:00,Sattari,40,0,Line3,0.8,False,0,0
2024-01-01 06:12:00,Valiasr,14,17,Line3,0.8,True,0,0
2024-01-01 06:18:00,Jahad,16,16,Line3,0.8,False,0,0
2024-01-01 06:24:00,Beheshti,13,14,Line3,0.8,False,0,0
2024-01-01 06:30:00,Heravi,17,14,Line3,0.8,False,0,0
2024-01-01 06:36:00,Ghaem,0,39,Line3,0.8,False,0,0
2024-01-01 06:06:00,Azadi,36,0,Line4,0.8,False,0,0
2024-01-01 06:12:00,Theather,13,9,Line4,0.8,True,0,0
2024-01-01 06:18:00,ferdowsi,14,9,Line4,0.8,False,0,0
2024-01-01 06:24:00,Dowlat,13,19,Line4,0.8,True,0,0
2024-01-01 06:30:00,Shemiran,8,12,Line4,0.8,False,0,0
2024-01-01 06:36:00,Booali,0,35,Line4,0.8,False,0,0
2024-01-01 06:12:00,Tajrish,22,0,Line1,0.8,True,0,0
2024-01-01 06:18:00,Shariati,13,7,Line1,0.8,False,0,0
2024-01-01 06:24:00,Beheshti,9,16,Line1,0.8,False,0,0
2024-01-01 06:30:00,Dowlat,14,14,Line1,0.8,True,0,0
2024-01-01 06:36:00,Mohamadieh,12,16,Line1,0.8,True,0,0
2024-01-01 06:42:00,Kahrizak,0,17,Line1,0.8,False,0,0
2024-01-01 06:12:00,Sanat,41,0,Line2,0.8,False,0,0
2024-01-01 06:18:00,Valiasr,19,20,Line2,0.8,True,0,0
2024-01-01 06:24:00,Theather,12,22,Line2,0.8,True,0,0
2024-01-01 06:30:00,Mohamadieh,12,24,Line2,0.8,True,0,0
2024-01-01 06:36:00,Heravi,10,7,Line2,0.8,False,0,0
2024-01-01 06:42:00,Basij,0,21,Line2,0.8,False,0,0
2024-01-01 06:12:00,Sattari,44,0,Line3,0.8,False,0,0
2024-01-01 06:18:00,Valiasr,20,5,Line3,0.8,True,0,0
2024-01-01 06:24:00,Jahad,4,12,Line3,0.8,False,0,0
2024-01-01 06:30:00,Beheshti,8,28,Line3,0.8,False,0,0
2024-01-01 06:36:00,Heravi,8,14,Line3,0.8,False,0,0
2024-01-01 06:42:00,Ghaem,0,25,Line3,0.8,False,0,0
2024-01-01 06:12:00,Azadi,42,0,Line4,0.8,False,0,0
2024-01-01 06:18:00,Theather,8,15,Line4,0.8,True,0,0
2024-01-01 06:24:00,ferdowsi,11,12,Line4,0.8,False,0,0
2024-01-01 06:30:00,Dowlat,6,16,Line4,0.8,True,0,0
2024-01-01 06:36:00,Shemiran,10,6,Line4,0.8,False,0,0
2024-01-01 06:42:00,Booali,0,28,Line4,0.8,False,0,0
2024-01-01 06:18:00,Tajrish,30,0,Line1,0.8,True,0,0
2024-01-01 06:24:00,Shariati,6,6,Line1,0.8,False,0,0
2024-01-01 06:30:00,Beheshti,11,21,Line1,0.8,False,0,0
2024-01-01 06:36:00,Dowlat,10,14,Line1,0.8,True,0,0
2024-01-01 06:42:00,Mohamadieh,15,16,Line1,0.8,True,0,0
2024-01-01 06:48:00,Kahrizak,0,15,Line1,0.8,False,0,0
2024-01-01 06:18:00,Sanat,40,0,Line2,0.8,False,0,0
2024-01-01 06:24:00,Valiasr,13,19,Line2,0.8,True,0,0
2024-01-01 06:30:00,Theather,8,14,Line2,0.8,True,0,0
2024-01-01 06:36:00,Mohamadieh,11,22,Line2,0.8,True,0,0
2024-01-01 06:42:00,Heravi,12,5,Line2,0.8,False,0,0
2024-01-01 06:48:00,Basij,0,24,Line2,0.8,False,0,0
2024-01-01 06:18:00,Sattari,33,0,Line3,0.8,False,0,0
2024-01-01 06:24:00,Valiasr,8,23,Line3,0.8,True,0,0
2024-01-01 06:30:00,Jahad,7,10,Line3,0.8,False,0,0
2024-01-01 06:36:00,Beheshti,11,15,Line3,0.8,False,0,0
